VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
2,1/12/15 0:00,1/12/15 0:05,5,0.96,-73.98,40.765,1,N,-73.96630859,40.76308823,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,25:64,27:63
2,1/12/15 0:00,1/12/15 0:00,2,2.69,-73.972,40.762,1,N,-73.99362946,40.74599838,1,21.5,0.0,0.5,3.34,0.0,0.3,25.64,26:64,25:69
2,1/12/15 0:00,1/12/15 0:00,1,2.62,-73.969,40.765,1,N,-73.97454834,40.79164124,1,17.0,0.0,0.5,3.56,0.0,0.3,21.36,26:63,22:59
1,1/12/15 0:00,1/12/15 0:05,1,1.2,-73.994,40.742,1,N,-73.99766541,40.74746704,1,6.5,0.5,0.5,0.2,0.0,0.3,8.0,25:70,24:69
1,1/12/15 0:00,1/12/15 0:09,2,3.0,-73.989,40.727,1,N,-73.97559357,40.6968689,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,28:71,33:75
1,1/12/15 0:00,1/12/15 0:16,1,6.3,-73.974,40.763,1,N,-74.01280212,40.70220947,1,20.5,0.5,0.5,4.35,0.0,0.3,26.15,26:64,27:78
2,1/12/15 0:00,1/12/15 0:02,6,0.63,-73.968,40.755,1,N,-73.96208191,40.75891495,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,28:64,28:63
2,1/12/15 0:00,1/12/15 0:08,2,1.91,-73.994,40.746,1,N,-74.00424957,40.72180939,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,25:69,26:74
2,1/12/15 0:00,1/12/15 0:17,1,4.5,-74.007,40.719,1,N,-73.98969269,40.77285385,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36,26:75,0.961111111
2,1/12/15 0:00,1/12/15 0:10,2,1.42,-74.0,40.735,1,N,-73.98906708,40.72312164,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25,25:71,28:72
2,1/12/15 0:00,1/12/15 0:10,6,2.02,-73.983,40.731,1,N,-74.00601196,40.74523163,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,28:70,1.006944444
1,1/12/15 0:00,1/12/15 0:00,1,0.0,-73.99,40.756,5,Y,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1/12/15 0:00,1/12/15 0:05,1,1.0,-73.996,40.744,1,N,-74.00262451,40.73054504,1,6.0,0.5,0.5,2.15,0.0,0.3,9.45,25:69,25:72
2,1/12/15 0:00,2/12/15 0:00,1,0.94,-74.005,40.727,1,N,-73.99701691,40.72539139,1,5.0,0.5,0.5,0.0,0.0,0.3,6.3,25:73,27:73
2,1/12/15 0:00,1/12/15 0:09,1,1.73,-73.999,40.728,1,N,-73.98088074,40.73778152,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,26:72,28:69
2,1/12/15 0:00,1/12/15 0:15,1,1.77,-73.976,40.756,1,N,-73.97711182,40.75017548,1,11.5,0.5,0.5,3.84,0.0,0.3,16.64,26:65,27:66
1,1/12/15 0:00,1/12/15 0:05,1,1.8,-73.988,40.764,1,N,-73.99378204,40.74340439,1,7.0,0.5,0.5,2.05,0.0,0.3,10.35,1.003472222,25:69
2,1/12/15 0:00,1/12/15 0:10,1,2.9,-74.005,40.722,1,N,-73.97710419,40.74701691,1,11.0,0.5,0.5,3.08,0.0,0.3,15.38,26:74,27:67
1,1/12/15 0:00,1/12/15 0:43,1,21.4,-73.781,40.645,2,N,-74.00856781,40.7028656,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,71:60,27:78
1,1/12/15 0:00,1/12/15 0:19,1,4.8,-74.006,40.735,1,N,-73.97029114,40.69006729,1,18.0,0.5,0.5,5.0,0.0,0.3,24.3,24:72,35:75
2,1/12/15 0:00,1/12/15 0:18,2,6.86,-73.984,40.755,1,N,-73.89687347,40.75121689,2,22.0,0.5,0.5,0.0,5.54,0.3,28.84,25:66,40:57:00
2,1/12/15 0:00,1/12/15 23:50,1,1.18,-73.978,40.758,1,N,-73.98493958,40.74786377,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,26:65,26:68
1,1/12/15 0:00,1/12/15 0:43,1,19.0,-73.782,40.645,2,N,-73.98414612,40.76995087,1,52.0,0.0,0.5,5.2,0.0,0.3,58.0,71:60,1.002777778
2,1/12/15 0:00,1/12/15 0:05,1,1.35,-73.988,40.755,1,N,-73.98178101,40.7684288,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,25:67,24:64
2,1/12/15 0:00,1/12/15 0:02,5,0.83,-74.001,40.752,1,N,-73.99243164,40.75825882,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,1.00625,1.004861111
2,1/12/15 0:00,1/12/15 0:03,2,0.93,-74.003,40.749,1,N,-73.99175262,40.75642014,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,1.00625,24:67
2,1/12/15 0:00,1/12/15 0:02,1,0.68,-73.955,40.72,1,N,-73.95540619,40.72619247,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,34:68,33:68
