VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
1,4/12/15 22:53,4/12/15 23:24,1,3.4,-73.985,40.768,1,N,-73.985466,40.73178101,1,20.0,0.5,0.5,1.5,0.0,0.3,22.8,1.002777778,28:70
1,4/12/15 22:53,4/12/15 23:05,2,2.3,-73.975,40.757,1,N,-73.95031738,40.77583313,1,10.5,0.5,0.5,2.95,0.0,0.3,14.75,26:65,28:59:00
2,4/12/15 22:53,4/12/15 22:57,2,0.51,-73.987,40.732,1,N,-73.99175262,40.72669983,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,27:70,27:72
2,4/12/15 22:53,4/12/15 23:08,1,2.37,-73.987,40.73,1,N,-74.00602722,40.70779037,1,11.5,0.5,0.5,1.2,0.0,0.3,14.0,28:71,27:76
1,4/12/15 22:53,4/12/15 23:05,1,1.5,-74.002,40.74,1,N,-73.99627686,40.72581863,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,24:71,27:72
1,4/12/15 22:53,4/12/15 23:04,3,1.3,-73.997,40.715,1,N,-73.98635864,40.73120499,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,28:74,28:70
1,4/12/15 22:53,4/12/15 23:02,2,1.4,-74.004,40.713,1,N,-73.99008942,40.72961044,1,8.0,0.5,0.5,2.0,0.0,0.3,11.3,27:75,27:71
2,4/12/15 22:53,4/12/15 22:56,1,0.71,-73.994,40.751,1,N,-74.00150299,40.74637985,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,24:68,1.006944444
2,4/12/15 22:53,4/12/15 23:12,5,2.48,-73.981,40.781,1,N,-73.97501373,40.753479,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,0.959722222,27:65
2,4/12/15 22:53,4/12/15 23:06,3,3.88,-74.007,40.744,1,N,-73.97936249,40.78180695,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,1.007638889,1.000694444
2,4/12/15 22:53,4/12/15 23:02,1,1.58,-73.994,40.766,1,N,-73.99147034,40.75024033,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0.9625,24:68
1,4/12/15 22:53,4/12/15 22:56,1,0.7,-73.956,40.772,1,N,-73.95552063,40.76384354,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,28:60,29:61
1,4/12/15 22:53,4/12/15 23:04,3,2.1,-73.975,40.681,1,N,-73.94903564,40.68718719,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,35:77,39:73
1,4/12/15 22:53,4/12/15 23:11,4,2.7,-73.995,40.725,1,N,-73.98558044,40.75680161,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,27:72,25:66
1,4/12/15 22:53,4/12/15 23:08,1,1.7,-74.005,40.723,1,N,-73.98228455,40.72399139,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,26:74,29:71
1,4/12/15 22:53,4/12/15 23:15,1,2.2,-73.995,40.751,1,N,-73.96605682,40.76031494,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8,24:68,27:63
2,4/12/15 22:53,4/12/15 23:01,2,0.86,-74.005,40.72,1,N,-73.99521637,40.71995544,1,6.5,0.5,0.5,1.1,0.0,0.3,8.9,26:74,27:73
