VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
2,4/12/15 21:38,4/12/15 21:45,2,1.78,-74.009,40.717,1,N,-74.00125885,40.74141312,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,26:75,24:70
2,4/12/15 21:38,4/12/15 21:43,1,1.02,-73.978,40.749,1,N,-73.98754883,40.73825073,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,27:66,27:69
1,4/12/15 21:38,4/12/15 21:56,1,2.0,-73.992,40.72,1,N,-73.97702026,40.73940659,1,13.0,0.5,0.5,1.5,0.0,0.3,15.8,28:73,28:68
1,4/12/15 21:38,4/12/15 22:02,1,2.3,-73.991,40.745,1,N,-73.98387909,40.72569275,1,16.0,0.5,0.5,3.45,0.0,0.3,20.75,25:69,29:71
1,4/12/15 21:38,4/12/15 21:42,2,0.6,-74.001,40.724,1,N,-74.00162506,40.7174263,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,26:73,27:74
1,4/12/15 21:38,4/12/15 21:41,1,0.7,-73.946,40.777,1,N,-73.95074463,40.78231049,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,29:58:00,27:58:00
1,4/12/15 21:38,4/12/15 21:48,1,1.4,-73.985,40.757,1,N,-73.98912811,40.74162674,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,25:66,26:69
1,4/12/15 21:38,4/12/15 22:08,2,2.7,-73.978,40.761,1,N,-73.98929596,40.73400879,1,19.0,0.5,0.5,3.5,0.0,0.3,23.8,25:64,27:70
1,4/12/15 21:38,4/12/15 21:43,2,0.8,-73.992,40.752,1,N,-73.98555756,40.76269913,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,24:68,24:65
1,4/12/15 21:38,4/12/15 22:01,1,3.4,-73.988,40.739,1,N,-73.98337555,40.69755554,1,17.0,0.5,0.5,5.0,0.0,0.3,23.3,27:69,32:75
1,4/12/15 21:38,4/12/15 21:42,2,0.5,-73.982,40.752,1,N,-73.98677063,40.74534225,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,26:66,26:68
2,4/12/15 21:38,4/12/15 21:56,1,1.97,-73.983,40.773,1,N,-73.97584534,40.75186539,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,1.002083333,27:66
2,4/12/15 21:38,4/12/15 21:54,1,2.35,-73.962,40.771,1,N,-73.98094177,40.74196243,1,12.0,0.5,0.5,1.6,0.0,0.3,14.9,27:61,27:68
2,4/12/15 21:38,4/12/15 21:49,5,1.41,-73.961,40.762,1,N,-73.97375488,40.74784851,1,9.0,0.5,0.5,0.7,0.0,0.3,11.0,28:62,28:66
2,4/12/15 21:38,4/12/15 21:50,5,2.15,-73.954,40.775,1,N,-73.97505951,40.75118637,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,28:59:00,27:66
2,4/12/15 21:38,4/12/15 21:44,4,1.96,-73.953,40.767,1,N,-73.97221375,40.75065613,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,29:61,28:66
2,4/12/15 21:38,4/12/15 21:46,3,1.71,-73.98,40.784,1,N,-73.9552002,40.7761116,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,0.959027778,27:59:00
1,4/12/15 21:38,4/12/15 21:54,1,3.5,-73.92,40.743,1,N,-73.86582947,40.75765991,1,14.5,0.5,0.5,0.0,0.0,0.3,15.8,37:61,44:52:00
2,4/12/15 21:38,4/12/15 21:57,6,2.43,-74.003,40.734,1,N,-73.98420715,40.76454163,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36,25:72,24:65
1,4/12/15 21:38,4/12/15 21:41,2,1.0,-73.981,40.78,1,N,-73.97060394,40.79084396,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,1.001388889,23:59
1,4/12/15 21:38,4/12/15 21:59,1,3.3,-73.98,40.751,1,N,-73.98468781,40.77962875,1,16.0,0.5,0.5,3.45,0.0,0.3,20.75,26:66,0.959722222
