VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
2,4/12/15 20:22,4/12/15 20:40,1,2.66,-73.995,40.725,1,N,-73.98296356,40.75653076,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,27:72,25:66
1,4/12/15 20:22,4/12/15 21:09,1,21.4,-74.004,40.742,1,N,-74.16638184,40.53361511,2,60.0,0.5,0.5,0.0,16.62,0.3,77.92,1.007638889,1.002777778
2,4/12/15 20:22,4/12/15 20:25,5,0.52,-74.01,40.721,1,N,-74.01229858,40.71382904,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,25:75,25:76
2,4/12/15 20:22,4/12/15 20:51,4,5.11,-73.99,40.739,1,N,-73.99768066,40.67884064,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,26:69,32:80
2,4/12/15 20:22,4/12/15 20:32,3,1.82,-73.999,40.761,1,N,-73.97904968,40.76528549,1,9.0,0.5,0.5,1.5,0.0,0.3,11.8,0.963194444,25:64
2,4/12/15 20:22,4/12/15 20:35,1,3.05,-73.971,40.795,1,N,-73.94100952,40.82926941,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,22:58,23:49
2,4/12/15 20:22,4/12/15 20:28,1,0.78,-74.007,40.714,1,N,-74.00713348,40.70505142,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,26:76,27:77
2,4/12/15 20:22,4/12/15 20:46,1,10.53,0.0,0.0,1,N,0.0,0.0,1,31.0,0.5,0.5,6.46,0.0,0.3,38.76,,
2,4/12/15 20:22,4/12/15 20:28,1,0.8,-73.999,40.74,1,N,-74.00034332,40.73015594,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,25:70,25:72
1,4/12/15 20:22,4/12/15 20:46,1,3.0,-74.002,40.731,1,N,-73.98270416,40.76576996,1,16.5,0.5,0.5,1.0,0.0,0.3,18.8,25:72,24:64
1,4/12/15 20:22,4/12/15 20:34,1,1.3,-73.981,40.738,1,N,-73.97982025,40.75152588,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,28:69,26:66
1,4/12/15 20:22,4/12/15 20:38,1,1.8,-73.973,40.756,1,N,-73.98193359,40.77150726,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,27:65,24:63
1,4/12/15 20:22,4/12/15 20:28,1,1.5,-74.013,40.717,1,N,-74.00649261,40.73683167,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,25:76,24:72
2,4/12/15 20:22,4/12/15 20:24,2,0.79,-73.958,40.765,1,N,-73.95046234,40.77534866,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,28:61,28:59:00
2,4/12/15 20:22,4/12/15 20:38,1,1.63,-74.002,40.728,1,N,-73.98526764,40.73828125,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,26:73,27:69
2,4/12/15 20:22,4/12/15 20:26,2,1.01,-73.993,40.743,1,N,-74.00424957,40.74253082,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,25:69,1.007638889
2,4/12/15 20:22,4/12/15 20:25,1,0.41,-73.992,40.748,1,N,-73.98677063,40.74539185,1,4.0,0.5,0.5,1.7,0.0,0.3,7.0,25:68,26:68
2,4/12/15 20:22,4/12/15 20:30,3,1.76,-73.954,40.766,1,N,-73.95542145,40.78554916,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,29:61,26:58:00
2,4/12/15 20:22,4/12/15 20:52,1,2.97,-73.977,40.762,1,N,-74.00595856,40.7332077,1,18.5,0.5,0.5,3.96,0.0,0.3,23.76,26:64,24:72
2,4/12/15 20:22,4/12/15 20:32,5,1.59,-73.961,40.796,1,N,-73.97772217,40.78367996,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,24:57:00,1.000694444
2,4/12/15 20:22,4/12/15 20:43,1,2.38,-73.958,40.769,1,N,-73.98445129,40.75268936,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36,28:61,25:67
1,4/12/15 20:22,4/12/15 20:35,1,2.9,-74.002,40.71,1,N,-73.98649597,40.72600555,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,28:76,28:71
1,4/12/15 20:22,4/12/15 20:25,3,0.2,-73.987,40.74,1,N,-73.98223877,40.74011612,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35,27:69,27:68
2,4/12/15 20:22,4/12/15 20:39,3,2.31,-73.95,40.78,1,N,-73.97341156,40.75767517,1,12.0,0.5,0.5,1.7,0.0,0.3,15.0,28:58:00,27:65
2,4/12/15 20:22,4/12/15 20:26,5,1.17,-73.969,40.759,1,N,-73.95789337,40.77349091,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,27:64,27:60
1,4/12/15 20:22,4/12/15 20:27,1,1.1,-73.982,40.771,1,N,-73.97608185,40.78633881,1,6.0,0.5,0.5,1.5,0.0,0.3,8.8,24:63,1
1,4/12/15 20:22,4/12/15 20:36,1,1.6,-73.988,40.732,1,N,-73.97844696,40.75153732,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,27:71,26:66
1,4/12/15 20:22,4/12/15 20:32,1,1.1,-73.99,40.74,1,N,-74.00235748,40.72832489,1,7.5,0.5,0.5,2.0,0.0,0.3,10.8,26:69,25:73
1,4/12/15 20:22,4/12/15 20:47,1,2.9,-73.967,40.757,1,N,-74.00379181,40.74599457,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,28:64,1.006944444
1,4/12/15 20:22,4/12/15 20:31,2,1.3,0.0,0.0,1,N,0.0,0.0,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,,
1,4/12/15 20:22,4/12/15 20:28,1,2.1,-73.958,40.773,1,N,-73.93901062,40.80013657,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,27:60,27:54:00
1,4/12/15 20:22,4/12/15 20:51,1,8.3,0.0,0.0,1,N,0.0,0.0,1,28.0,0.5,0.5,3.0,0.0,0.3,32.3,,
2,4/12/15 20:22,4/12/15 20:28,2,0.6,-73.981,40.738,1,N,-73.98831177,40.73635483,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,28:69,27:70
2,4/12/15 20:22,4/12/15 20:42,1,7.87,-73.972,40.645,1,N,-74.00476837,40.74234772,2,24.5,0.5,0.5,0.0,5.54,0.3,31.34,40:83,1.007638889
2,4/12/15 20:22,4/12/15 20:31,1,2.24,-73.98,40.776,1,N,-73.96893311,40.80268097,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,1.002083333,22:57
2,4/12/15 20:22,4/12/15 20:31,1,2.36,-73.953,40.786,1,N,-73.9797821,40.77534866,1,9.5,0.5,0.5,2.0,0.0,0.3,12.8,26:58:00,1.001388889
2,4/12/15 20:22,4/12/15 20:32,5,1.0,-73.985,40.738,1,N,-73.98892975,40.74412155,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,27:69,26:69
2,4/12/15 20:22,4/12/15 20:37,5,7.1,-74.008,40.722,1,N,-73.96537781,40.75498962,1,21.5,0.5,0.5,4.0,0.0,0.3,26.8,25:74,28:64
2,4/12/15 20:22,4/12/15 20:37,2,1.93,-73.977,40.75,1,N,-73.99938965,40.7388382,1,11.0,0.5,0.5,3.69,0.0,0.3,15.99,27:66,25:71
1,4/12/15 20:22,4/12/15 20:31,2,1.2,-73.968,40.763,1,N,-73.97737122,40.77254868,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,27:63,24:63
1,4/12/15 20:22,4/12/15 20:31,1,2.1,-73.982,40.768,1,N,-73.96622467,40.79335785,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,24:64,23:58
1,4/12/15 20:22,4/12/15 20:47,2,2.9,-73.972,40.757,1,N,-73.99438477,40.72040176,1,16.0,0.5,0.5,3.45,0.0,0.3,20.75,27:65,28:73
1,4/12/15 20:22,4/12/15 20:32,4,1.6,-73.98,40.761,1,N,-73.9777832,40.77879715,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25,25:65,1.001388889
1,4/12/15 20:22,4/12/15 20:34,1,2.3,-73.974,40.753,1,N,-73.95837402,40.778965,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,27:65,26:59:00
1,4/12/15 20:22,4/12/15 20:25,1,0.3,-73.947,40.776,1,N,-73.95252991,40.77669907,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,29:59:00,28:59:00
2,4/12/15 20:22,4/12/15 20:31,1,1.72,-73.96,40.775,1,N,-73.98090363,40.77587128,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,27:60,1.002083333
2,4/12/15 20:22,4/12/15 20:28,1,1.4,-73.971,40.784,1,N,-73.95323181,40.78530884,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,24:60,27:58:00
2,4/12/15 20:22,4/12/15 20:27,5,0.41,-73.975,40.744,1,N,-73.9779892,40.74819183,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,28:67,27:67
2,4/12/15 20:22,4/12/15 20:32,1,0.97,-73.984,40.768,1,N,-73.98551941,40.75751877,1,7.0,0.5,0.5,0.0,0.0,0.3,8.3,24:64,25:66
1,4/12/15 20:22,4/12/15 20:40,1,2.3,-73.966,40.758,1,N,-73.98567963,40.72783279,1,12.5,0.5,0.5,2.2,0.0,0.3,16.0,28:64,28:71
1,4/12/15 20:22,4/12/15 20:24,1,0.5,-73.962,40.759,1,N,-73.95782471,40.76535416,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75,28:63,28:61
2,4/12/15 20:22,4/12/15 20:44,1,3.2,-73.961,40.802,1,N,-73.98100281,40.76414108,1,16.0,0.5,0.5,3.46,0.0,0.3,20.76,23:56,25:64
2,4/12/15 20:22,4/12/15 20:28,6,1.92,-73.94,40.751,1,N,-73.9577179,40.76531982,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,33:62,28:61
2,4/12/15 20:22,4/12/15 20:28,1,0.75,-73.972,40.763,1,N,-73.96573639,40.76204681,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,26:63,27:63
2,4/12/15 20:22,4/12/15 20:38,1,5.18,-73.993,40.724,1,N,-73.94739532,40.77132034,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,27:72,29:59:00
2,4/12/15 20:22,4/12/15 20:36,1,2.61,-73.993,40.737,1,N,-74.0100708,40.71155167,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,26:70,26:76
1,4/12/15 20:22,4/12/15 20:39,1,3.2,-74.01,40.706,1,N,-73.9842453,40.72520828,1,15.0,0.5,0.5,4.85,0.0,0.3,21.15,27:77,29:71
2,4/12/15 20:22,4/12/15 20:27,1,1.37,-73.976,40.749,1,N,-73.96140289,40.76021957,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,27:66,28:63
2,4/12/15 20:22,4/12/15 20:52,5,3.56,-73.972,40.76,1,N,-74.00592804,40.72564316,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,26:64,25:74
2,4/12/15 20:22,4/12/15 20:27,2,0.79,-73.978,40.783,1,N,-73.97537231,40.792202,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,1.000694444,22:59
2,4/12/15 20:22,4/12/15 20:29,5,0.7,-73.997,40.737,1,N,-74.0061264,40.73981857,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,25:71,1.007638889
1,4/12/15 20:22,4/12/15 20:39,1,2.5,-73.99,40.729,1,N,-74.01502228,40.71424484,1,13.0,0.5,0.5,2.5,0.0,0.3,16.8,27:71,25:77
1,4/12/15 20:22,4/12/15 20:26,1,0.7,-73.958,40.71,1,N,-73.96139526,40.7165184,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8,35:70,33:70
