pickup_latitude,pickup_longitude,n
40.757,-73.997,25
40.794,-73.969,3
40.795,-73.976,5
40.735,-73.975,6
40.751,-73.94,12
40.781,-73.982,35
40.742,-73.995,13
40.765,-73.972,46
40.81,-73.962,10
40.712,-74.014,8
40.757,-73.976,52
40.784,-73.97,28
40.764,-73.977,115
40.752,-73.975,123
40.774,-73.945,4
40.788,-73.956,13
40.709,-74.014,7
40.672,-73.987,2
40.734,-73.976,6
40.751,-73.976,85
40.751,-73.935,2
40.738,-73.989,24
40.762,-73.961,24
40.762,-74.001,27
40.732,-74.007,35
40.743,-73.991,10
40.762,-73.998,22
40.771,-73.964,36
40.788,-73.952,2
40.782,-73.949,54
40.736,-73.997,23
40.714,-74.01,24
40.763,-73.969,50
40.727,-73.996,24
40.744,-73.989,65
40.774,-73.988,10
40.764,-73.985,67
40.779,-73.974,25
40.785,-73.974,29
40.781,-73.973,2
40.741,-73.981,53
40.786,-73.969,28
40.766,-73.967,24
40.754,-73.972,80
40.71,-74.015,47
40.708,-73.819,2
40.791,-73.952,2
40.805,-73.963,3
40.706,-74.008,30
40.733,-73.996,49
40.751,-73.998,60
40.757,-73.97,73
40.793,-73.974,8
40.79,-73.946,1
40.731,-73.995,15
40.793,-73.941,19
40.777,-73.958,18
40.805,-73.962,21
40.647,-73.779,11
40.761,-73.984,59
40.722,-74.004,82
40.714,-74.014,63
40.777,-73.978,19
40.762,-73.977,19
40.742,-73.977,14
40.785,-73.946,6
40.642,-73.787,5
40.741,-73.976,24
40.733,-74.004,51
40.769,-73.992,25
40.777,-73.962,19
40.776,-73.964,14
40.736,-73.995,9
40.786,-73.946,7
40.754,-73.974,55
40.785,-73.954,32
40.792,-73.968,27
40.774,-73.946,16
40.737,-73.974,4
40.769,-73.981,43
40.718,-74.009,26
40.777,-73.951,9
40.774,-73.954,35
40.731,-74.001,139
40.774,-73.951,18
40.735,-73.984,7
40.76,-73.985,66
40.756,-73.974,51
40.726,-74.001,42
40.703,-73.994,3
40.704,-74.009,80
40.771,-73.885,1
40.783,-73.98,27
40.771,-73.98,29
40.758,-73.977,48
40.726,-73.994,29
40.753,-73.996,31
40.813,-73.957,3
40.773,-73.946,31
40.761,-73.975,97
40.772,-73.961,79
