pickup_latitude,pickup_longitude,n
40.731,-73.983,135
40.756,-73.976,55
40.749,-74.003,67
40.76,-73.975,40
40.645,-73.777,366
40.761,-73.99,45
40.765,-73.921,1
40.759,-73.99,22
40.747,-73.985,116
40.767,-73.969,48
40.758,-73.982,61
40.757,-73.972,160
40.764,-73.992,39
40.768,-73.982,348
40.739,-73.987,137
40.722,-73.984,44
40.756,-73.971,106
40.764,-73.974,125
40.774,-73.875,211
40.771,-73.96,65
40.77,-73.863,280
40.693,-73.971,3
40.787,-73.976,28
40.728,-74.002,74
40.738,-73.99,77
40.739,-73.988,54
40.734,-74.003,168
40.759,-73.962,57
40.722,-73.989,108
40.714,-74.009,73
40.744,-73.988,92
40.763,-73.981,32
40.646,-73.786,7
40.76,-73.967,21
40.746,-73.998,58
40.746,-74.006,44
40.718,-74.0,47
40.73,-73.999,29
40.774,-73.955,46
40.767,-73.987,48
40.76,-74.003,64
40.761,-73.987,122
40.714,-74.015,111
40.743,-73.993,145
40.76,-73.974,59
40.782,-73.981,102
40.761,-73.961,85
40.782,-73.96,21
40.765,-73.961,60
40.714,-74.011,19
40.761,-73.971,58
40.78,-73.955,74
40.754,-73.969,109
40.756,-74.002,20
40.771,-73.948,14
40.757,-73.99,182
40.749,-73.984,71
40.78,-73.975,4
40.75,-73.988,144
40.733,-73.987,135
40.71,-74.001,2
40.767,-73.981,21
40.767,-73.979,71
40.773,-73.962,15
40.763,-73.963,31
40.722,-74.002,8
40.781,-73.981,105
40.642,-73.788,64
40.701,-73.992,2
40.78,-73.958,22
40.774,-73.962,28
40.791,-73.972,9
40.802,-73.949,3
40.743,-73.978,10
40.779,-73.962,212
40.735,-73.983,47
40.863,-73.922,1
40.733,-73.99,75
40.751,-74.005,40
40.721,-73.982,6
40.761,-73.98,87
40.773,-73.958,65
40.743,-74.007,55
40.748,-73.98,29
40.734,-73.991,99
40.752,-73.974,84
40.73,-73.992,45
40.77,-73.991,44
40.78,-73.953,54
40.78,-73.956,74
40.772,-73.957,9
40.788,-73.971,45
40.767,-73.953,33
40.737,-73.978,26
40.776,-73.96,53
40.764,-73.959,37
40.719,-73.999,17
40.755,-73.966,21
40.789,-73.954,1
40.769,-73.993,6
40.792,-73.965,28
40.786,-73.955,18
40.791,-73.974,64
40.783,-73.953,59
40.722,-74.0,28
40.726,-74.004,59
40.739,-74.003,60
40.738,-74.0,105
40.732,-73.98,2
40.715,-73.997,22
40.77,-73.98,15
40.737,-74.001,90
40.723,-73.987,33
40.723,-73.997,36
40.733,-73.994,49
40.778,-73.975,20
40.72,-74.007,16
40.784,-73.955,43
40.721,-73.991,1
40.77,-73.981,13
40.738,-73.984,132
40.777,-73.979,108
40.739,-73.984,23
40.771,-73.968,18
40.742,-74.007,28
40.727,-73.993,40
40.735,-74.007,20
40.74,-73.986,74
40.777,-73.982,69
40.786,-73.957,17
40.744,-73.979,73
40.782,-73.958,23
40.775,-73.961,40
40.752,-73.99,79
40.775,-73.987,7
40.761,-73.979,47
40.742,-74.001,79
40.773,-73.99,10
40.805,-73.939,12
40.751,-74.006,68
40.72,-74.004,11
40.731,-73.981,30
40.765,-73.958,48
40.764,-73.968,15
40.764,-73.982,54
40.724,-74.003,24
40.779,-73.953,38
40.778,-73.946,32
40.769,-73.952,34
40.746,-74.002,50
40.736,-73.998,76
40.744,-73.985,40
40.754,-73.966,49
40.751,-73.98,33
40.737,-73.993,83
40.723,-73.999,27
40.781,-73.947,13
40.762,-73.993,12
40.725,-74.006,4
40.777,-73.989,23
40.717,-73.991,28
40.727,-73.999,16
40.78,-73.947,35
40.702,-74.013,67
40.756,-73.987,91
40.77,-73.983,6
40.762,-73.98,40
40.76,-73.995,91
40.743,-73.984,142
40.766,-73.98,100
40.722,-73.993,59
40.749,-73.988,114
40.763,-73.986,78
40.778,-73.962,1
40.739,-73.995,43
40.765,-73.962,23
40.692,-73.989,15
40.751,-73.972,37
40.719,-73.991,23
40.722,-73.997,129
40.767,-73.965,39
40.736,-73.983,19
40.757,-73.986,86
40.847,-73.938,3
40.718,-73.986,25
40.74,-73.991,76
40.728,-74.007,23
40.768,-73.985,73
40.764,-73.954,90
40.728,-73.998,4
40.763,-73.966,66
40.745,-73.976,124
40.816,-73.959,2
40.77,-73.958,43
40.72,-74.009,60
40.789,-73.967,23
40.745,-73.978,70
40.724,-74.002,9
40.784,-73.977,44
40.758,-73.993,86
40.737,-73.991,48
40.726,-74.006,67
40.777,-73.96,26
40.78,-73.957,41
40.762,-73.96,91
40.707,-74.005,58
40.709,-74.008,4
40.781,-73.957,22
40.739,-74.005,11
40.77,-73.995,1
40.769,-73.963,76
40.79,-73.943,12
40.72,-73.987,57
40.79,-73.979,5
40.745,-73.989,103
40.773,-73.956,37
40.712,-74.008,52
40.741,-73.988,84
40.742,-73.98,22
40.761,-73.968,37
40.815,-73.958,4
40.764,-73.972,24
40.757,-73.987,18
40.755,-73.979,53
40.766,-73.984,40
40.761,-73.983,87
40.729,-73.978,33
40.793,-73.968,16
40.758,-73.988,14
40.777,-73.952,94
40.739,-73.989,27
40.738,-73.996,46
40.744,-73.987,41
40.725,-73.982,21
40.715,-74.01,34
40.732,-74.001,167
40.759,-73.971,71
40.762,-73.987,43
40.763,-73.971,34
40.785,-73.958,15
40.773,-73.95,8
40.773,-73.949,34
40.785,-73.95,27
40.721,-74.011,9
40.756,-73.964,23
40.779,-73.985,17
40.759,-73.981,79
40.714,-74.004,5
40.769,-73.966,18
40.709,-74.013,9
40.641,-73.789,10
40.766,-73.952,22
40.733,-74.007,28
40.782,-73.975,17
40.708,-74.017,19
40.758,-73.986,49
40.805,-73.937,4
40.776,-73.953,91
40.643,-73.79,42
40.776,-73.961,18
40.775,-73.945,10
40.649,-73.784,124
40.741,-73.99,80
40.771,-73.982,132
40.768,-73.969,31
40.644,-73.791,38
40.762,-73.996,7
40.734,-74.005,23
40.777,-73.964,21
40.758,-73.966,123
40.772,-73.87,3
40.777,-73.947,19
40.709,-74.011,22
40.767,-73.983,79
40.785,-73.98,23
40.729,-73.994,23
40.739,-73.986,11
40.71,-74.016,18
40.749,-73.97,32
40.718,-73.998,32
40.779,-73.963,15
40.762,-73.974,84
40.79,-73.955,2
40.769,-73.959,18
40.703,-74.01,22
40.754,-74.0,11
40.768,-73.99,12
40.736,-73.99,38
40.799,-73.954,1
40.741,-73.975,14
40.746,-73.981,13
40.688,-73.981,1
40.76,-73.986,32
40.712,-74.015,6
40.791,-73.975,39
40.793,-73.971,22
40.738,-73.978,16
40.795,-73.965,5
40.779,-73.946,4
40.756,-73.997,5
40.647,-73.778,13
40.791,-73.973,14
40.715,-74.003,3
40.729,-73.976,8
40.734,-73.998,12
40.794,-73.974,16
40.757,-73.984,27
40.749,-73.972,20
40.642,-73.789,41
40.719,-73.99,88
40.728,-74.003,76
40.763,-73.959,46
40.8,-73.947,4
40.788,-73.955,13
40.737,-73.985,64
40.79,-73.974,3
40.726,-73.999,18
40.743,-73.981,44
40.705,-74.016,26
40.796,-73.971,32
40.746,-73.983,19
40.723,-73.983,37
40.76,-73.987,48
40.781,-73.949,57
40.745,-73.988,24
40.778,-73.955,33
40.738,-73.862,1
40.765,-73.955,48
40.782,-73.971,8
40.675,-73.984,1
40.808,-73.945,7
40.756,-73.962,18
40.708,-74.016,5
40.745,-74.006,77
40.734,-73.989,39
40.725,-73.978,26
40.762,-73.978,67
40.743,-73.985,69
40.763,-73.994,1
40.744,-74.007,108
40.787,-73.975,17
40.719,-74.01,49
40.719,-74.005,80
40.729,-74.005,51
40.754,-73.976,38
40.781,-73.984,10
40.756,-73.968,145
40.743,-73.992,54
40.768,-73.957,18
40.799,-73.936,2
40.823,-73.949,2
40.717,-74.008,52
40.725,-73.987,55
40.753,-74.003,2
40.783,-73.959,6
40.78,-73.961,17
40.776,-73.976,47
40.726,-73.991,8
40.757,-73.98,7
40.826,-73.951,7
40.791,-73.979,1
40.726,-73.986,42
40.707,-74.007,27
40.736,-73.996,15
40.77,-73.985,19
40.752,-73.988,12
40.764,-73.966,12
40.768,-73.989,37
40.769,-73.988,45
40.747,-73.976,7
40.768,-73.981,73
40.753,-73.984,13
40.787,-73.953,13
40.764,-73.961,6
40.72,-74.0,11
40.764,-73.967,79
40.758,-73.975,68
40.788,-73.967,14
40.78,-73.959,25
40.739,-73.996,73
40.795,-73.932,1
40.76,-73.991,96
40.768,-73.967,5
40.804,-73.956,13
40.679,-74.0,2
40.755,-73.965,69
40.752,-73.995,2
40.763,-73.96,60
40.75,-73.981,72
40.772,-73.946,5
40.724,-74.004,39
40.734,-74.008,7
40.761,-73.998,46
40.767,-73.898,2
40.757,-73.971,76
40.736,-73.984,10
40.754,-73.98,47
40.698,-73.993,7
40.747,-73.972,23
40.715,-74.013,32
40.755,-73.967,4
40.709,-74.005,17
40.737,-73.998,12
40.76,-73.966,13
40.756,-73.994,56
40.766,-73.981,22
40.731,-74.002,64
40.771,-73.954,52
40.729,-74.002,36
40.731,-73.999,16
40.697,-73.815,5
40.736,-73.999,2
40.741,-73.983,20
40.73,-73.978,25
40.788,-73.974,8
40.774,-73.964,49
40.727,-74.0,87
40.752,-73.991,11
40.687,-73.975,3
40.784,-73.982,8
40.718,-73.991,35
40.753,-73.977,38
40.784,-73.981,10
40.803,-73.964,21
40.77,-73.965,44
40.726,-73.987,41
40.774,-73.958,33
40.695,-73.996,5
40.74,-74.008,75
40.72,-73.957,2
40.756,-73.996,4
40.705,-74.007,83
40.741,-73.982,48
40.794,-73.945,4
40.725,-73.998,24
40.743,-73.952,1
40.763,-73.991,3
40.685,-73.978,11
40.804,-73.938,4
40.732,-73.997,24
40.741,-73.992,9
40.726,-73.949,2
40.759,-73.983,14
40.743,-73.987,50
40.742,-74.004,145
40.756,-73.993,5
40.645,-73.78,5
40.641,-73.787,2
40.786,-73.98,27
40.765,-73.991,16
40.775,-73.95,12
40.745,-73.992,82
