pickup_latitude,pickup_longitude,n
40.755,-73.968,153
40.735,-74.0,78
40.744,-73.996,123
40.727,-74.005,14
40.728,-73.999,60
40.645,-73.781,50
40.758,-73.978,66
40.678,-73.973,8
0.0,0.0,1486
40.774,-73.873,478
40.721,-73.76,1
40.644,-73.782,22
40.75,-73.99,30
40.708,-74.012,26
40.75,-73.995,294
40.76,-73.973,39
40.704,-74.014,12
40.753,-73.975,67
40.725,-73.995,122
40.754,-73.985,43
40.732,-73.999,20
40.733,-73.982,54
40.753,-73.995,10
40.779,-73.909,1
40.741,-73.998,88
40.833,-73.942,1
40.743,-74.0,119
40.714,-73.956,5
40.74,-73.983,25
40.726,-73.943,1
40.842,-73.943,1
40.753,-73.986,47
40.77,-73.984,39
40.764,-73.981,103
40.743,-73.98,134
40.734,-74.001,13
40.748,-73.952,1
40.758,-73.973,83
40.76,-73.988,112
40.74,-74.006,202
40.747,-73.997,74
40.75,-73.993,54
40.764,-73.965,54
40.767,-73.968,15
40.778,-73.947,2
40.727,-73.991,56
40.743,-73.988,44
40.755,-73.999,22
40.734,-73.999,139
40.779,-73.957,7
40.743,-73.982,62
40.799,-73.952,4
40.774,-73.959,34
40.76,-73.972,100
40.76,-73.981,100
40.729,-74.001,70
40.762,-73.981,29
40.775,-73.954,148
40.759,-73.967,8
40.757,-73.973,61
40.759,-73.973,82
40.741,-73.986,105
40.764,-73.979,56
40.776,-73.982,65
40.751,-73.992,20
40.743,-74.008,54
40.804,-73.966,12
40.713,-74.008,9
40.77,-73.969,14
40.755,-73.987,48
40.752,-73.978,185
40.762,-73.971,53
40.75,-74.003,81
40.791,-73.969,30
40.78,-73.952,4
40.793,-73.973,52
40.769,-73.955,64
40.711,-74.016,115
40.727,-73.986,118
40.733,-74.003,103
40.731,-74.007,66
40.774,-73.871,450
40.714,-73.99,32
40.776,-73.956,91
40.715,-74.016,114
40.769,-73.985,81
40.742,-73.978,87
40.737,-73.987,48
40.78,-73.981,67
40.79,-73.966,51
40.742,-73.983,86
40.767,-73.96,41
40.828,-73.949,4
40.748,-73.978,40
40.741,-74.006,63
40.775,-73.978,2
40.762,-73.966,175
40.785,-73.977,57
40.753,-73.98,23
40.805,-73.955,12
40.646,-73.776,2
40.779,-73.954,129
40.769,-73.982,159
40.76,-73.965,104
