pickup_latitude,pickup_longitude,n
40.765,-73.98,126
40.762,-73.972,56
40.765,-73.969,34
40.742,-73.994,126
40.727,-73.989,74
40.756,-73.99,184
40.764,-73.988,64
40.722,-74.005,29
40.735,-74.006,57
40.752,-74.001,27
40.72,-73.955,3
40.703,-73.96,1
40.77,-73.864,383
40.752,-73.994,70
40.759,-73.97,63
40.739,-73.99,67
40.707,-74.012,25
40.704,-74.012,36
40.731,-73.993,21
40.72,-74.005,78
40.774,-73.874,220
40.737,-73.99,59
40.756,-73.983,81
40.733,-73.991,59
40.646,-73.777,58
40.752,-74.004,14
40.742,-73.993,93
40.645,-73.789,3
40.647,-73.79,173
40.677,-73.974,1
40.776,-73.874,1
40.759,-73.987,30
40.761,-73.966,26
40.783,-73.978,70
40.721,-73.997,79
40.753,-73.97,86
40.767,-73.954,84
40.739,-74.009,19
40.768,-73.962,45
40.765,-73.966,108
40.762,-73.986,137
40.765,-73.981,89
40.745,-73.987,78
40.762,-73.97,81
40.77,-73.963,30
40.769,-73.951,1
40.759,-73.982,64
40.73,-74.004,27
40.757,-73.978,80
40.737,-73.997,128
40.728,-73.993,58
40.762,-73.988,12
40.73,-73.991,91
40.708,-74.004,50
40.726,-73.996,43
40.724,-73.997,59
40.783,-73.948,46
40.714,-74.012,26
40.721,-74.0,24
40.769,-73.862,11
40.708,-74.003,27
40.762,-73.979,131
40.725,-73.999,35
40.749,-74.008,4
40.753,-73.978,132
40.752,-73.993,71
40.745,-73.979,104
40.763,-73.989,76
40.766,-73.969,23
40.738,-73.986,31
40.71,-74.017,5
40.763,-73.97,86
40.737,-73.989,155
40.783,-73.951,35
40.74,-74.003,58
40.765,-73.977,94
40.753,-73.993,82
40.769,-73.863,401
40.739,-74.006,27
40.745,-73.982,30
40.757,-73.967,155
40.774,-73.963,43
40.792,-73.974,58
40.776,-73.947,58
40.74,-73.984,29
40.772,-73.956,110
40.745,-73.983,66
40.768,-73.964,116
40.778,-73.952,84
40.756,-73.991,144
40.746,-73.984,80
40.77,-73.96,66
40.78,-73.95,100
40.769,-73.984,10
40.776,-73.987,19
40.742,-73.981,111
40.759,-73.965,79
40.774,-73.989,47
40.752,-73.982,55
40.772,-73.983,211
40.753,-73.973,115
40.774,-73.982,113
40.761,-73.965,11
40.715,-73.985,3
40.712,-74.01,46
40.778,-73.957,50
40.729,-73.988,43
40.779,-73.982,104
40.784,-73.979,14
40.744,-73.986,87
40.761,-73.976,37
